SkierID,Type,Time,Level,SessionID,Acceleration,Warning
165,TEMP,2530,11.2,n,n,S
165,CO2,2530,620,n,n,S
165,accel,24.35,n,43,14,9.68
165,TEMP,2531,10.4,n,n,S
165,CO2,2531,890,n,n,S
165,accel,24.92,n,43,14,9.55
165,TEMP,2532,9.8,n,n,S
165,CO2,2532,1320,n,n,S
165,accel,25.48,n,43,14,9.41
165,TEMP,2533,9.3,n,n,S
165,CO2,2533,1587,n,n,W
165,accel,26.01,n,43,14,9.22
165,TEMP,2534,8.9,n,n,S
165,CO2,2534,1724,n,n,W
165,accel,26.47,n,43,14,9.08
165,TEMP,2535,8.6,n,n,S
165,CO2,2535,1653,n,n,W
165,accel,26.98,n,43,14,8.95
165,TEMP,2536,9.1,n,n,S
165,CO2,2536,1410,n,n,S
165,accel,27.42,n,43,14,9.12
165,TEMP,2537,9.7,n,n,S
165,CO2,2537,980,n,n,S
165,accel,27.89,n,43,14,9.34
